ranking,score_final,roe_score,growth_2006_score,growth_2017_score,ev_ebit_score,symbol,companyName,exchange,sector,industry,returnOnEquityTTM,returnOnEquityTTM_win,returnOnEquityTTM_original,ev_ebit,ev_ebit_win,ev_ebit_original,returnOnInvestedCapitalTTM,revenue_per_share_cagr_2006_ltm,revenue_per_share_cagr_2017_ltm,operating_income_per_share_cagr_2006_ltm,operating_income_per_share_cagr_2017_ltm,revenue_per_share_2006,revenue_per_share_2017,revenue_per_share_ltm,operating_income_per_share_2006,operating_income_per_share_2017,operating_income_per_share_ltm,revenue_2006,revenue_2017,revenue_ltm,operatingIncome_2006,operatingIncome_2017,operatingIncome_ltm,shares_2006,shares_2017,shares_ltm,marketCapTTM,enterpriseValueTTM,ebit_ltm,current_price,trading_currency,fair_value_min,fair_value_max,g_min,g_max,reported_currency
1010,0.4859321227101668,0.2339200844357053,0.3223395848598344,0.1874583503871778,1.0,MPX,Marine Products Corporation,NYSE,Consumer Cyclical,Auto - Recreational Vehicles,0.1326295613930821,0.1326295613930821,0.1326295613930821,-2.477485573739476,-2.080274804937688,-2.477485573739476,0.0930121839849835,0.0003239830503123,-0.0154747591192454,-0.0071401314687983,-0.0421347355375441,6.948120419094648,7.920004740459825,6.99101575198747,0.7159505667939772,0.8816958995022517,0.624818985134616,261378000.0,267316000.0,236555000.0,26933000.0,29759000.0,21142000.0,37618519.0,33752000.0,33837000.0,311638770.0,-52379000.0,21142000.0,8.9697,USD,3.284715011588519,9.171411536043802,0.041467587873104284,0.13095746818432147,USD
1022,0.4838153329215623,0.1721111747606197,0.6142370462068591,0.5409323420238774,0.718610211850785,EZPW,"EZCORP, Inc.",NASDAQ,Financial Services,Financial - Credit Services,0.1044791367064773,0.1044791367064773,0.1044791367064773,3.068502163429907,3.068502163429907,3.068502163429907,0.0582706293272947,0.0524133157639474,0.0549372808917145,0.0337528930563151,0.0954480174764251,8.010652058129804,13.784629561371176,21.14502593974697,1.0901874254989985,0.9878363435311464,2.0484208610175663,315852000.0,747954000.0,1161602000.0,42985000.0,53600000.0,112530000.0,39429000.0,54260000.0,54935000.0,654921106.0,396429000.0,129193000.0,11.945,USD,9.179713167192855,14.279677800110127,0.02569366882921109,0.07511410926760267,USD
1016,0.4847020684539108,0.1399325564430326,0.7909262456868812,0.3865487343208277,0.8184429865290377,CAAS,"China Automotive Systems, Inc.",NASDAQ,Consumer Cyclical,Auto - Parts,0.0898236157430753,0.0898236157430753,0.0898236157430753,1.2417951804492493,1.2417951804492493,1.2417951804492493,0.0626391776882098,0.0839436430787126,0.0241840571190412,0.0462944298068739,0.0994464875452019,4.128199522090439,15.771171056608386,19.09360928561476,0.5502482895914853,0.6089621275487135,1.300118844345578,95766439.0,499063000.0,576354000.0,12764722.0,19270000.0,39245000.0,23198113.0,31644004.0,30185702.0,118629808.86,54675000.0,44029000.0,4.04,USD,5.630708309290248,7.606205371758972,0.011397243874899682,0.04868419852581046,USD
1032,0.4823438757762198,0.3726734440824756,0.4728500369989632,0.5261730925447349,0.5625823156988075,AMCR,Amcor plc,NYSE,Consumer Cyclical,Packaging & Containers,0.1958237840590782,0.1958237840590782,0.1958237840590782,5.92344883158743,5.92344883158743,5.92344883158743,0.0800518014742621,0.0271826922085742,0.0519972375237565,0.0575427646120292,0.0467557910140203,5.69397515705351,6.318368341209173,9.47810979847116,0.2914050444753301,0.5853220903405143,0.8436414176511466,8193630251.0,9092132043.0,13639000000.0,419331859.0,842278488.0,1214000000.0,1439000000.0,1439000000.0,1439000000.0,13656110000.0,7351000000.0,1241000000.0,9.5699,USD,5.580543725490196,12.182725090196076,0.09548734150194256,0.14499413540414235,USD
1040,0.4805814982860755,0.1900731201689541,0.6611963366679157,0.43416994769995,0.7562043019679718,LEA,Lear Corporation,NYSE,Consumer Cyclical,Auto - Parts,0.1126597759395625,0.1126597759395625,0.1126597759395625,2.38061797752809,2.38061797752809,2.38061797752809,0.0696214234389199,0.0607932382666449,0.033670205636773,0.0817957133016578,-0.1141562205695219,129.97813340080566,306.0542546999448,398.8911570687326,2.047427559189546,24.04979028846051,9.11944508083194,17838900000.0,20467000000.0,23466900000.0,281000000.0,1608300000.0,536500000.0,137245393.0,66873764.0,58830334.0,5100071074.79,2034000000.0,854400000.0,91.22,USD,64.21298853777247,92.9619794631772,0.04449592964332433,0.08261594657594055,USD
1045,0.4797350175864283,0.14590687535994,0.7215916823495993,0.4309460057289757,0.7838778389828011,PTR,PetroChina Company Limited,NYSE,Energy,Oil & Gas Integrated,0.092544576452595,0.092544576452595,0.092544576452595,1.8742567802991985,1.8742567802991985,1.8742567802991985,0.0673842152619441,0.0715708354442652,0.033027996205742,-0.0118227328504618,0.1144576697718982,384.1190293317544,1101.4528387452806,1428.442091344709,110.37612766100068,37.00231121018899,88.0516443468236,687653727500.0,2015890000000.0,2614349000000.0,197596447500.0,67722000000.0,161153000000.0,1790210000.0,1830210000.0,1830210000.0,621820907535.075,333509000000.0,177942000000.0,46.85,USD,64.87953012579665,179.62263178749544,0.01913122798663594,0.1196731561625727,CNY
1047,0.4795403889807097,0.131043917030053,0.5436722191514555,0.5092129029904645,0.7890603315581441,MTB-PH,M&T Bank Corporation,NYSE,Financial Services,Banks - Regional,0.0857753486618922,0.0857753486618922,0.0857753486618922,1.7794292508917957,1.7794292508917957,1.7794292508917957,0.0555069264607999,0.0398209665965143,0.0486187667628408,0.005407359876935,0.0465420968580978,25.75619080172344,36.995888311545066,54.08719591731235,24.540077177012403,18.89389277281729,27.187862539898173,2863393000.0,5632187000.0,8998000000.0,2728194000.0,2876372000.0,4523000000.0,111173000.0,152238188.0,166361000.0,32711183802.0,11972000000.0,6728000000.0,24.7625,USD,85.00002092235296,194.58023749968015,0.031032078593010104,0.11213521584051293,USD
1036,0.481776199517021,0.0907824757030004,0.7413199790732049,0.5565159095330923,0.7481331145391401,WKC,World Kinect Corporation,NYSE,Energy,Oil & Gas Refining & Marketing,0.0674385639198665,0.0674385639198665,0.0674385639198665,2.5283018867924527,2.5283018867924527,2.5283018867924527,0.0230196170190282,0.0750913655892242,0.0580415284599489,0.0450809311556505,0.2171241677366449,196.32897659008992,494.79441997063145,777.0456026058632,1.3952379218698805,0.6696035242290749,3.224755700325733,10785136000.0,33695500000.0,47710600000.0,76646000.0,45600000.0,198000000.0,54934000.0,68100000.0,61400000.0,1648164000.0,509200000.0,201400000.0,27.869,USD,18.571818586723772,31.7247329356535,0.06981453449636069,0.11469707857679001,USD
1050,0.4788670338036246,0.0907819188488018,0.5408552693990287,0.4983589902706898,0.8359861969267309,INDB,Independent Bank Corp.,NASDAQ,Financial Services,Banks - Regional,0.0674383103046149,0.0674383103046149,0.0674383103046149,0.9207953380563472,0.9207953380563472,0.9207953380563472,-0.0347238807632834,0.0393182796864788,0.0464566667080064,-0.0029253108455443,0.0306750819400318,8.655655222436328,12.524278204741345,18.01037265790192,7.540988325485947,5.601188655628257,7.132707461079899,129299000.0,341838000.0,795726000.0,112648000.0,152879000.0,315134000.0,14938095.0,27294028.0,44181540.0,2828029781.46,464393000.0,504339000.0,66.69,USD,38.66959017012962,70.5660305343194,0.07242772630163175,0.12097346618390124,USD
1053,0.4781871465521664,0.124543537542552,0.410858331998757,0.4065887814730224,0.9022763419989764,BXS,BancorpSouth Bank,NYSE,Financial Services,Banks - Regional,0.0828147974378183,0.0828147974378183,0.0828147974378183,-0.2921597390366878,-0.2921597390366878,-0.2921597390366878,0.1005472616564191,0.016120223448689,0.0281760356953664,-0.0235511703980332,0.0353492831842843,7.469934169022593,8.104640622098929,10.1221689144591,6.13672634990431,2.955166501021177,3.901908242781286,591893000.0,742069000.0,1027471000.0,486254000.0,270578000.0,396071000.0,79236709.0,91561000.0,101507000.0,2919341320.0,-115716000.0,396071000.0,28.76,USD,20.170321349136472,57.87491524060264,0.05143560994954183,0.1371794871012062,USD
