ranking,score_final,roic_score,growth_2006_score,growth_2017_score,ev_ebit_score,symbol,companyName,exchange,sector,industry,current_price,fair_value_min,fair_value_max,trading_currency,reported_currency,ey_overall_min,ey_overall_max,ey_q1_min,ey_q1_max,ey_q2_min,ey_q2_max,ey_q3_min,ey_q3_max,ey_q4_min,ey_q4_max,ey_q5_min,ey_q5_max,fair_value_min_unconverted,fair_value_max_unconverted,marketCapTTM,enterpriseValueTTM,returnOnEquityTTM,returnOnInvestedCapitalTTM,returnOnInvestedCapitalTTM_win,returnOnInvestedCapitalTTM_original,ev_ebit,ev_ebit_win,ev_ebit_original,revenue_per_share_cagr_2006_ltm,revenue_per_share_cagr_2006_ltm_win,revenue_per_share_cagr_2006_ltm_original,revenue_per_share_cagr_2017_ltm,revenue_per_share_cagr_2017_ltm_win,revenue_per_share_cagr_2017_ltm_original,operating_income_per_share_cagr_2006_ltm,operating_income_per_share_cagr_2017_ltm,revenue_per_share_2006,revenue_per_share_2017,revenue_per_share_ltm,operating_income_per_share_2006,operating_income_per_share_2017,operating_income_per_share_ltm,revenue_2006,operatingIncome_2006,shares_2006,revenue_2017,operatingIncome_2017,shares_2017,revenue_ltm,operatingIncome_ltm,shares_ltm,netIncome_ltm,incomeTaxExpense_ltm,interestExpense_ltm,ebit_ltm
41,0.82562,1.00000,0.21050,0.84203,0.80535,ERF,Enerplus Corporation,NYSE,Energy,Oil & Gas Exploration & Production,20.09000,2.27804,20.46016,USD,USD,0.00423,0.81649,,,,,,,,,,,2.27804,20.46016,4103302140.00000,4268350824.00000,0.31803,0.27879,0.27325,0.27879,8.83693,8.83693,8.83693,-0.01849,-0.01849,-0.01849,0.12518,0.12518,0.12518,-0.04307,0.14337,11.25664,3.07339,7.89584,5.47931,0.81270,2.37363,1368671806.00000,666218886.00000,121588000.00000,743541153.00000,196615506.00000,241929000.00000,1607261782,483171528,203558000.00000,384726000,81493522.00000,16793231.00000,483012753.00000
44,0.81677,0.96671,0.48567,0.83812,0.74064,ULTA,"Ulta Beauty, Inc.",NASDAQ,Consumer Cyclical,Specialty Retail,359.36000,165.14691,496.34535,USD,USD,0.00296,0.15435,,,,,,,,,,,165.14691,496.34535,16282421920.00000,17502454920.00000,0.50754,0.26425,0.26425,0.26425,11.07704,11.07704,11.07704,0.03337,0.03337,0.03337,0.12434,0.12434,0.12434,0.08699,0.12988,130.84613,95.59598,244.12479,6.94646,12.75734,33.88569,755113000.00000,40088000.00000,5771000.00000,5884506000.00000,785291000.00000,61556000.00000,11295654000,1567891000,46270000.00000,1201118000,378948000.00000,0.00000,1580066000.00000
48,0.80880,0.98547,0.46636,0.46633,0.97460,BOH-PA,Bank of Hawaii Corporation,NYSE,Financial Services,Banks - Regional,15.13000,32.93044,50.43918,USD,USD,0.04269,0.11388,,,,,,,,,,,32.93044,50.43918,2446894350.00000,1772117350.00000,0.09401,0.26932,0.26932,0.26932,2.97824,2.97824,2.97824,0.02973,0.02973,0.02973,0.04439,0.04439,0.04439,0.02769,0.05341,12.33220,15.19964,21.51549,5.72116,6.34007,9.61313,618789000.00000,287069000.00000,50176685.00000,642655000.00000,268064000.00000,42280931.00000,848802000,379245000,39450737.00000,149994000,47857000.00000,397171000.00000,595022000.00000
50,0.80588,0.68853,0.43001,0.96545,0.90821,PHM,"PulteGroup, Inc.",NYSE,Consumer Cyclical,Residential Construction,101.24000,10.24373,102.84402,USD,USD,0.01978,1.44479,,,,,,,,,,,10.24373,102.84402,20496847920.00000,21138033920.00000,0.27004,0.18905,0.18905,0.18905,5.27628,5.27628,5.27628,0.02288,0.02288,0.02288,0.15172,0.15172,0.15172,0.07554,0.25214,56.59956,28.10082,86.99578,4.73158,3.12361,18.87514,14274408000.00000,1193304000.00000,252200000.00000,8573250000.00000,952979000.00000,305089000.00000,17946951000,3893880000,206296798.00000,3083262000,922617000.00000,359000.00000,4006238000.00000
52,0.80336,0.72075,0.36931,0.81380,0.99555,MSB,Mesabi Trust,NYSE,Basic Materials,Steel,24.51000,7.08054,60.03065,USD,USD,0.00207,0.99004,,,,,,,,,,,7.08054,60.03065,321571445.00000,225661296.00000,2.31088,0.19776,0.19776,0.19776,2.25306,2.25306,2.25306,0.01144,0.01144,0.01144,0.11911,0.11911,0.11911,-0.00006,0.09775,1.64480,0.82982,2.04155,1.58040,0.74866,1.57873,21579833.00000,20734877.00000,13120010.00000,10887193.00000,9822406.00000,13120010.00000,26785161,20712960,13120011.00000,91897995,8259844.00000,0.00000,100157839.00000
53,0.80293,0.98539,0.08443,0.59701,0.96478,EURN,Euronav NV,NYSE,Energy,Oil & Gas Midstream,16.74000,9.33795,28.00597,USD,USD,0.00024,0.63183,,,,,,,,,,,9.33795,28.00597,3251192446.00000,4325785446.00000,0.55257,0.26930,0.26930,0.26930,3.31819,3.31819,3.31819,-0.04225,-0.04225,-0.04225,0.07249,0.07249,0.07249,-0.00767,0.65392,12.90295,3.24574,5.68143,5.49340,0.08476,4.74579,677648000.00000,288507000.00000,52518862.00000,513368000.00000,13406000.00000,158166534.00000,1144932499,956379345,201521800.00000,1178230000,9153332.00000,116276000.00000,1303659332.00000
55,0.80167,0.84741,0.58368,0.65751,0.92002,ANF,Abercrombie & Fitch Co.,NYSE,Consumer Cyclical,Apparel - Retail,73.33000,34.51366,98.57098,USD,USD,0.00277,0.32306,,,,,,,,,,,34.51366,98.57098,3583571103.00000,3762457103.00000,0.46524,0.23200,0.23200,0.23200,4.86759,4.86759,4.86759,0.05184,0.05184,0.05184,0.08550,0.08550,0.08550,0.03638,0.39068,37.68407,51.06944,98.44996,7.47388,1.05350,14.73829,3318158000.00000,658090000.00000,88052000.00000,3492690000.00000,72050000.00000,68391000.00000,4948587000,740820000,50265000.00000,566223000,194661000.00000,12077000.00000,772961000.00000
56,0.80033,1.00000,0.52743,0.58240,0.83344,PCAR,PACCAR Inc,NASDAQ,Industrials,Agricultural - Machinery,90.88000,68.40098,93.07757,USD,USD,0.00379,0.11593,,,,,,,,,,,68.40098,93.07757,47706092709.00000,40834992709.00000,0.30966,0.39436,0.27325,0.39436,7.86468,7.86468,7.86468,0.04124,0.04124,0.04124,0.06935,0.06935,0.06935,0.04971,0.10674,29.24393,36.85971,63.02550,3.57665,3.99413,8.99049,16454100000.00000,2012400000.00000,562650000.00000,19456400000.00000,2108300000.00000,527850000.00000,33119900000,4724500000,525500008.00000,4162000000,1030200000.00000,0.00000,5192200000.00000
62,0.79865,1.00000,0.43686,0.57008,0.86185,MET-PF,"MetLife, Inc.",NYSE,Financial Services,Insurance - Life,19.62000,9.46717,48.11230,USD,USD,0.00718,0.62954,,,,,,,,,,,9.46717,48.11230,47052417960.00000,45699417960.00000,0.15514,7.62077,0.27325,7.62077,6.88141,6.88141,6.88141,0.02417,0.02417,0.02417,0.06670,0.06670,0.06670,-0.02813,0.07662,63.56935,59.70553,100.07928,10.91408,3.51575,6.34626,48396000000.00000,8309000000.00000,761310260.00000,62308000000.00000,3669000000.00000,1043588396.00000,70696000000,4483000000,706400000.00000,4426000000,1178000000.00000,1037000000.00000,6641000000.00000
63,0.79865,1.00000,0.43686,0.57008,0.86185,MET-PE,"MetLife, Inc.",NYSE,Financial Services,Insurance - Life,23.42000,9.46717,48.11230,USD,USD,0.00718,0.62954,,,,,,,,,,,9.46717,48.11230,47052417960.00000,45699417960.00000,0.15514,7.62077,0.27325,7.62077,6.88141,6.88141,6.88141,0.02417,0.02417,0.02417,0.06670,0.06670,0.06670,-0.02813,0.07662,63.56935,59.70553,100.07928,10.91408,3.51575,6.34626,48396000000.00000,8309000000.00000,761310260.00000,62308000000.00000,3669000000.00000,1043588396.00000,70696000000,4483000000,706400000.00000,4426000000,1178000000.00000,1037000000.00000,6641000000.00000
